Model,Avg Similarity,Inference Time (ms),Model Size (MB),Embedding Dimension
all-MiniLM-L6-v2,0.5713527575135231,847.0404148101807,22.713216,384
all-mpnet-base-v2,0.5247598685324192,454.74982261657715,109.486464,768
paraphrase-MiniLM-L6-v2,0.5311229787766933,111.59086227416992,22.713216,384
sentence-t5-base,0.8535551428794861,493.6981201171875,110.218368,768
stsb-roberta-large,0.4375650447793305,415.4238700866699,355.359744,1024
